slang,formal
"Aduh siap, lu mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh siap, loe lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh yhaa, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh yhaa, elo alay banget!","Astaga, kamu norak sekali!"
lu tuh tajir banget sih,Anda benar-benar kaya
kamu tuh ajib banget sih,Anda benar-benar hebat
"Aduh wkwk, elo lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, loe kepo banget!","Astaga, kamu penasaran sekali!"
you sokin banget dah,kamu fokus sekali
"Aduh yhaa, kamu kepo banget!","Astaga, saudara penasaran sekali!"
"Mabar yuk ente, gw sokin nih","Bermain bersama yuk saudara, saya fokus"
"Aduh deck, elo garing banget!","Astaga, saudara membosankan sekali!"
kamu modus banget dah,kamu berpura-pura sekali
"Aduh waduh, you syulit banget!","Astaga, saudara sulit sekali!"
"Aduh njir, you garing banget!","Astaga, saudara membosankan sekali!"
"Aduh waduh, lu syulit banget!","Astaga, kamu sulit sekali!"
Jangan troll dong kamu,"Tolong jangan mengganggu, saudara"
loe unfriend banget dah,saudara hapus pertemanan sekali
"Aduh wkwk, lu ajib banget!","Astaga, saudara hebat sekali!"
"Aduh anjir, elo kepo banget!","Astaga, saudara penasaran sekali!"
lu tuh ngehe banget sih,Anda benar-benar menjengkelkan
"Aduh wkwk, ente santuy banget!","Astaga, Anda santai sekali!"
"Aduh dah, loe mantul banget!","Astaga, Anda mantap sekali!"
"Aduh siap, elo gercep banget!","Astaga, Anda cepat sekali!"
"Aduh anjir, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh wkwk, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh yaelah, elo mager banget!","Astaga, saudara malas gerak sekali!"
"Mabar yuk loe, gw flexing nih","Bermain bersama yuk saudara, saya pamer"
"Aduh haha, elo ajib banget!","Astaga, kamu hebat sekali!"
"Aduh yhaa, ente bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh yaelah, you mager banget!","Astaga, kamu malas gerak sekali!"
"Mabar yuk ente, gw japri nih","Bermain bersama yuk kamu, saya kirim pesan pribadi"
"Aduh waduh, loe garing banget!","Astaga, kamu membosankan sekali!"
"Aduh dah, lu mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh njir, loe lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh dah, you syulit banget!","Astaga, Anda sulit sekali!"
elo jadian banget dah,kamu berhubungan sekali
"Aduh anjir, ente syulit banget!","Astaga, saudara sulit sekali!"
Jangan ribut dong lu,"Tolong jangan berdebat, kamu"
"Aduh waduh, lu alay banget!","Astaga, saudara norak sekali!"
"Aduh anjir, elo ajib banget!","Astaga, saudara hebat sekali!"
"Aduh dah, lu jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Mabar yuk lu, gw gaskeun nih","Bermain bersama yuk kamu, saya bersungguh-sungguh"
lu flexing banget dah,saudara pamer sekali
Jangan japri dong ente,"Tolong jangan kirim pesan pribadi, kamu"
"Mabar yuk you, gw selow nih","Bermain bersama yuk saudara, saya santai"
"Aduh njir, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh yhaa, kamu mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh njir, lu alay banget!","Astaga, saudara norak sekali!"
"Aduh wkwk, kamu ajib banget!","Astaga, kamu hebat sekali!"
"Aduh dah, ente garing banget!","Astaga, Anda membosankan sekali!"
"Mabar yuk elo, gw mabar nih","Bermain bersama yuk kamu, saya main bersama"
Jangan block dong you,"Tolong jangan blokir, saudara"
"Aduh wkwk, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh njir, loe mantul banget!","Astaga, kamu mantap sekali!"
"Aduh waduh, loe syulit banget!","Astaga, kamu sulit sekali!"
"Aduh deck, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh siap, ente jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh anjir, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh haha, you mantul banget!","Astaga, Anda mantap sekali!"
"Mabar yuk kamu, gw nyok nih","Bermain bersama yuk Anda, saya ayo"
"Aduh deck, kamu tajir banget!","Astaga, kamu kaya sekali!"
"Aduh deck, ente gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh yaelah, lu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh siap, loe galau banget!","Astaga, saudara sedih sekali!"
"Aduh yhaa, ente ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh waduh, loe mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh haha, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh njir, kamu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yaelah, ente alay banget!","Astaga, saudara norak sekali!"
"Aduh haha, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh njir, ente garing banget!","Astaga, saudara membosankan sekali!"
"Mabar yuk lu, gw selow nih","Bermain bersama yuk saudara, saya santai"
Jangan japri dong loe,"Tolong jangan kirim pesan pribadi, kamu"
"Aduh yaelah, loe alay banget!","Astaga, Anda norak sekali!"
"Aduh dah, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh njir, loe gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, lu syulit banget!","Astaga, saudara sulit sekali!"
"Aduh njir, ente ajib banget!","Astaga, saudara hebat sekali!"
"Aduh wkwk, elo mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh dah, ente syulit banget!","Astaga, saudara sulit sekali!"
"Aduh haha, elo mantul banget!","Astaga, kamu mantap sekali!"
"Aduh njir, loe ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh anjir, lu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh waduh, loe bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh dah, elo ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh yhaa, you gabut banget!","Astaga, kamu tidak produktif sekali!"
"Mabar yuk you, gw gaskeun nih","Bermain bersama yuk kamu, saya bersungguh-sungguh"
"Aduh wkwk, kamu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh haha, you galau banget!","Astaga, kamu sedih sekali!"
loe tuh gabut banget sih,saudara benar-benar tidak produktif
"Aduh dah, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh deck, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh yhaa, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh waduh, kamu gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, kamu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh yhaa, kamu santuy banget!","Astaga, saudara santai sekali!"
"Aduh waduh, kamu gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh njir, kamu kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh haha, you mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh siap, ente cepet banget!","Astaga, kamu cepat sekali!"
"Aduh dah, elo kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh deck, ente santuy banget!","Astaga, saudara santai sekali!"
"Aduh wkwk, elo garing banget!","Astaga, Anda membosankan sekali!"
"Aduh siap, loe mantul banget!","Astaga, kamu mantap sekali!"
"Aduh anjir, loe garing banget!","Astaga, saudara membosankan sekali!"
"Aduh njir, ente ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh waduh, elo jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
Jangan unfriend dong elo,"Tolong jangan hapus pertemanan, kamu"
"Aduh siap, kamu santuy banget!","Astaga, kamu santai sekali!"
"Aduh anjir, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh siap, ente syulit banget!","Astaga, Anda sulit sekali!"
ente flexing banget dah,saudara pamer sekali
"Aduh yhaa, lu garing banget!","Astaga, kamu membosankan sekali!"
kamu tuh ngehe banget sih,saudara benar-benar menjengkelkan
"Aduh yaelah, lu baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh siap, you gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Mabar yuk loe, gw sokin nih","Bermain bersama yuk Anda, saya fokus"
"Aduh siap, you baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh yhaa, kamu bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh deck, ente garing banget!","Astaga, Anda membosankan sekali!"
loe ghosting banget dah,Anda menghilang sekali
"Aduh anjir, lu mager banget!","Astaga, Anda malas gerak sekali!"
Jangan unfriend dong ente,"Tolong jangan hapus pertemanan, kamu"
"Aduh anjir, ente ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh yaelah, lu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh yhaa, kamu ajib banget!","Astaga, Anda hebat sekali!"
"Aduh dah, elo mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh anjir, ente ajib banget!","Astaga, Anda hebat sekali!"
"Aduh wkwk, elo gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yaelah, lu santuy banget!","Astaga, kamu santai sekali!"
"Aduh wkwk, elo galau banget!","Astaga, saudara sedih sekali!"
you ghosting banget dah,Anda menghilang sekali
"Aduh waduh, you ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh anjir, lu tajir banget!","Astaga, Anda kaya sekali!"
elo tuh tajir banget sih,Anda benar-benar kaya
"Aduh njir, ente mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh yhaa, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh njir, loe cepet banget!","Astaga, saudara cepat sekali!"
"Aduh anjir, ente lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh dah, kamu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh yaelah, kamu baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh anjir, kamu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh waduh, elo gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, elo galau banget!","Astaga, Anda sedih sekali!"
"Aduh siap, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Mabar yuk you, gw ghosting nih","Bermain bersama yuk Anda, saya menghilang"
"Aduh waduh, kamu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh deck, loe syulit banget!","Astaga, kamu sulit sekali!"
"Aduh anjir, ente gercep banget!","Astaga, saudara cepat sekali!"
"Aduh dah, elo lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh njir, loe santuy banget!","Astaga, saudara santai sekali!"
"Aduh deck, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh njir, kamu galau banget!","Astaga, kamu sedih sekali!"
"Aduh siap, lu ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Mabar yuk kamu, gw sokin nih","Bermain bersama yuk Anda, saya fokus"
"Aduh haha, ente gercep banget!","Astaga, Anda cepat sekali!"
"Aduh siap, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yhaa, lu gercep banget!","Astaga, kamu cepat sekali!"
"Aduh haha, elo tajir banget!","Astaga, Anda kaya sekali!"
"Aduh waduh, you baper banget!","Astaga, saudara terlalu sensitif sekali!"
loe tuh ambyar banget sih,Anda benar-benar hancur
"Aduh waduh, loe galau banget!","Astaga, saudara sedih sekali!"
"Aduh wkwk, ente syulit banget!","Astaga, Anda sulit sekali!"
"Aduh siap, kamu alay banget!","Astaga, kamu norak sekali!"
"Aduh anjir, you garing banget!","Astaga, saudara membosankan sekali!"
"Aduh yaelah, elo garing banget!","Astaga, saudara membosankan sekali!"
"Aduh yhaa, kamu alay banget!","Astaga, saudara norak sekali!"
"Aduh njir, loe tajir banget!","Astaga, kamu kaya sekali!"
elo tuh alay banget sih,kamu benar-benar norak
lu tuh baper banget sih,saudara benar-benar terlalu sensitif
"Aduh yaelah, you gercep banget!","Astaga, saudara cepat sekali!"
"Aduh haha, loe baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh wkwk, you galau banget!","Astaga, Anda sedih sekali!"
"Aduh anjir, lu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh waduh, kamu ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh waduh, elo santuy banget!","Astaga, kamu santai sekali!"
"Aduh waduh, ente alay banget!","Astaga, saudara norak sekali!"
"Aduh wkwk, loe ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh dah, you galau banget!","Astaga, kamu sedih sekali!"
"Aduh siap, loe gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh waduh, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yhaa, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
loe tuh garing banget sih,saudara benar-benar membosankan
"Aduh wkwk, elo ambyar banget!","Astaga, kamu hancur sekali!"
"Mabar yuk elo, gw japri nih","Bermain bersama yuk saudara, saya kirim pesan pribadi"
Jangan unfriend dong loe,"Tolong jangan hapus pertemanan, Anda"
"Aduh yhaa, loe lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh dah, kamu ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh yhaa, kamu mantul banget!","Astaga, kamu mantap sekali!"
"Aduh haha, elo kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh waduh, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh wkwk, loe jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh njir, lu bucin banget!","Astaga, kamu budak cinta sekali!"
you tuh baper banget sih,kamu benar-benar terlalu sensitif
"Aduh siap, ente bucin banget!","Astaga, Anda budak cinta sekali!"
"Mabar yuk elo, gw jadian nih","Bermain bersama yuk Anda, saya berhubungan"
"Aduh yaelah, you tajir banget!","Astaga, kamu kaya sekali!"
lu tuh gercep banget sih,Anda benar-benar cepat
"Mabar yuk loe, gw nyok nih","Bermain bersama yuk kamu, saya ayo"
Jangan modus dong elo,"Tolong jangan berpura-pura, kamu"
"Aduh anjir, elo jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh wkwk, lu garing banget!","Astaga, saudara membosankan sekali!"
you tuh gercep banget sih,Anda benar-benar cepat
"Mabar yuk lu, gw block nih","Bermain bersama yuk saudara, saya blokir"
"Aduh wkwk, elo baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh yaelah, loe ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh dah, you mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh siap, loe jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Mabar yuk elo, gw nyok nih","Bermain bersama yuk saudara, saya ayo"
"Aduh dah, lu kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh njir, elo gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh njir, kamu ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh dah, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh yhaa, ente gercep banget!","Astaga, saudara cepat sekali!"
kamu block banget dah,kamu blokir sekali
"Mabar yuk you, gw jadian nih","Bermain bersama yuk kamu, saya berhubungan"
"Aduh anjir, elo baper banget!","Astaga, saudara terlalu sensitif sekali!"
lu selow banget dah,saudara santai sekali
"Aduh yhaa, lu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh anjir, you mantul banget!","Astaga, Anda mantap sekali!"
you gaskeun banget dah,Anda bersungguh-sungguh sekali
"Aduh deck, lu kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh deck, kamu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh yaelah, loe ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh haha, elo alay banget!","Astaga, saudara norak sekali!"
"Aduh njir, loe galau banget!","Astaga, kamu sedih sekali!"
lu ribut banget dah,Anda berdebat sekali
"Aduh siap, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh anjir, elo cepet banget!","Astaga, saudara cepat sekali!"
"Mabar yuk ente, gw jadian nih","Bermain bersama yuk kamu, saya berhubungan"
"Aduh siap, ente tajir banget!","Astaga, saudara kaya sekali!"
"Aduh deck, loe ajib banget!","Astaga, saudara hebat sekali!"
"Aduh haha, elo gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh deck, loe ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh siap, lu mantul banget!","Astaga, kamu mantap sekali!"
you tuh ajib banget sih,saudara benar-benar hebat
"Mabar yuk kamu, gw flexing nih","Bermain bersama yuk saudara, saya pamer"
"Aduh yhaa, you ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh siap, kamu gercep banget!","Astaga, saudara cepat sekali!"
"Aduh anjir, you kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh waduh, lu cepet banget!","Astaga, saudara cepat sekali!"
kamu tuh garing banget sih,Anda benar-benar membosankan
"Aduh haha, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh wkwk, kamu santuy banget!","Astaga, Anda santai sekali!"
"Aduh wkwk, lu kepo banget!","Astaga, saudara penasaran sekali!"
you tuh kepo banget sih,saudara benar-benar penasaran
"Aduh yaelah, loe ajib banget!","Astaga, kamu hebat sekali!"
"Aduh haha, lu galau banget!","Astaga, Anda sedih sekali!"
"Aduh yaelah, ente syulit banget!","Astaga, Anda sulit sekali!"
"Aduh anjir, lu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh njir, elo gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh siap, loe santuy banget!","Astaga, kamu santai sekali!"
"Aduh wkwk, ente mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh waduh, ente santuy banget!","Astaga, Anda santai sekali!"
"Mabar yuk ente, gw flexing nih","Bermain bersama yuk saudara, saya pamer"
"Aduh waduh, lu mager banget!","Astaga, Anda malas gerak sekali!"
"Mabar yuk you, gw troll nih","Bermain bersama yuk Anda, saya mengganggu"
you unfriend banget dah,saudara hapus pertemanan sekali
"Aduh yhaa, elo tajir banget!","Astaga, Anda kaya sekali!"
"Aduh njir, you alay banget!","Astaga, kamu norak sekali!"
"Aduh anjir, elo gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh yaelah, elo syulit banget!","Astaga, Anda sulit sekali!"
"Aduh anjir, elo galau banget!","Astaga, kamu sedih sekali!"
"Aduh haha, elo gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh dah, ente gercep banget!","Astaga, saudara cepat sekali!"
lu nyok banget dah,Anda ayo sekali
loe tuh galau banget sih,Anda benar-benar sedih
"Aduh wkwk, you ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh njir, elo mantul banget!","Astaga, kamu mantap sekali!"
"Aduh siap, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh yhaa, ente mantul banget!","Astaga, kamu mantap sekali!"
"Aduh wkwk, ente ajib banget!","Astaga, Anda hebat sekali!"
"Aduh siap, kamu kepo banget!","Astaga, kamu penasaran sekali!"
loe gaskeun banget dah,saudara bersungguh-sungguh sekali
you tuh alay banget sih,Anda benar-benar norak
"Aduh wkwk, elo cepet banget!","Astaga, kamu cepat sekali!"
loe tuh ajib banget sih,saudara benar-benar hebat
"Aduh wkwk, loe gercep banget!","Astaga, Anda cepat sekali!"
"Aduh njir, elo ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh njir, you bucin banget!","Astaga, Anda budak cinta sekali!"
Jangan block dong ente,"Tolong jangan blokir, saudara"
"Aduh anjir, elo santuy banget!","Astaga, saudara santai sekali!"
"Aduh deck, ente ajib banget!","Astaga, saudara hebat sekali!"
"Aduh anjir, elo gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh njir, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh wkwk, kamu kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh deck, lu santuy banget!","Astaga, Anda santai sekali!"
"Aduh wkwk, you alay banget!","Astaga, kamu norak sekali!"
Jangan troll dong you,"Tolong jangan mengganggu, Anda"
"Aduh njir, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!"
elo tuh mager banget sih,kamu benar-benar malas gerak
Jangan jadian dong loe,"Tolong jangan berhubungan, Anda"
"Aduh waduh, kamu ambyar banget!","Astaga, saudara hancur sekali!"
"Aduh siap, ente gercep banget!","Astaga, saudara cepat sekali!"
"Aduh yhaa, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh dah, you cepet banget!","Astaga, Anda cepat sekali!"
"Aduh haha, ente galau banget!","Astaga, saudara sedih sekali!"
"Aduh deck, loe ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh haha, elo baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh wkwk, lu bucin banget!","Astaga, Anda budak cinta sekali!"
"Mabar yuk kamu, gw mabar nih","Bermain bersama yuk Anda, saya main bersama"
"Aduh siap, elo baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh njir, kamu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh dah, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh haha, you ajib banget!","Astaga, saudara hebat sekali!"
"Aduh deck, you alay banget!","Astaga, Anda norak sekali!"
"Aduh waduh, elo mantul banget!","Astaga, saudara mantap sekali!"
"Aduh yhaa, lu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh haha, loe lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh waduh, elo kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh yhaa, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh wkwk, ente lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh waduh, you lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yaelah, loe mantul banget!","Astaga, Anda mantap sekali!"
"Aduh wkwk, elo bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh waduh, you ajib banget!","Astaga, Anda hebat sekali!"
"Aduh deck, loe gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh deck, lu galau banget!","Astaga, saudara sedih sekali!"
"Aduh dah, lu ngehe banget!","Astaga, Anda menjengkelkan sekali!"
you tuh galau banget sih,kamu benar-benar sedih
"Aduh haha, loe ajib banget!","Astaga, Anda hebat sekali!"
you mabar banget dah,Anda main bersama sekali
"Aduh waduh, ente mantul banget!","Astaga, Anda mantap sekali!"
"Aduh anjir, you syulit banget!","Astaga, Anda sulit sekali!"
"Aduh yhaa, you syulit banget!","Astaga, saudara sulit sekali!"
you tuh mantul banget sih,saudara benar-benar mantap
"Aduh deck, ente bucin banget!","Astaga, Anda budak cinta sekali!"
"Mabar yuk kamu, gw troll nih","Bermain bersama yuk saudara, saya mengganggu"
"Aduh wkwk, you santuy banget!","Astaga, Anda santai sekali!"
"Aduh yaelah, loe cepet banget!","Astaga, saudara cepat sekali!"
"Aduh anjir, you tajir banget!","Astaga, Anda kaya sekali!"
"Aduh dah, kamu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh wkwk, loe bucin banget!","Astaga, kamu budak cinta sekali!"
"Mabar yuk lu, gw unfriend nih","Bermain bersama yuk Anda, saya hapus pertemanan"
"Aduh yaelah, you jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
ente tuh mager banget sih,Anda benar-benar malas gerak
"Aduh yhaa, loe mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh njir, ente galau banget!","Astaga, kamu sedih sekali!"
"Aduh haha, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh dah, elo galau banget!","Astaga, kamu sedih sekali!"
lu tuh galau banget sih,kamu benar-benar sedih
"Aduh dah, lu mantul banget!","Astaga, kamu mantap sekali!"
kamu tuh kepo banget sih,kamu benar-benar penasaran
"Aduh anjir, ente cepet banget!","Astaga, saudara cepat sekali!"
elo troll banget dah,Anda mengganggu sekali
"Aduh waduh, you alay banget!","Astaga, saudara norak sekali!"
"Aduh deck, lu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh yaelah, lu galau banget!","Astaga, kamu sedih sekali!"
"Aduh wkwk, elo syulit banget!","Astaga, kamu sulit sekali!"
"Aduh yhaa, elo ajib banget!","Astaga, saudara hebat sekali!"
you tuh jomblo banget sih,Anda benar-benar tidak punya pasangan
lu tuh gabut banget sih,kamu benar-benar tidak produktif
"Aduh wkwk, loe santuy banget!","Astaga, kamu santai sekali!"
"Aduh wkwk, loe gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh dah, lu galau banget!","Astaga, Anda sedih sekali!"
"Aduh anjir, ente jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh anjir, ente gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh anjir, you galau banget!","Astaga, saudara sedih sekali!"
"Aduh waduh, lu ajib banget!","Astaga, Anda hebat sekali!"
elo gaskeun banget dah,saudara bersungguh-sungguh sekali
"Aduh yhaa, kamu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh haha, ente cepet banget!","Astaga, kamu cepat sekali!"
"Aduh anjir, elo mager banget!","Astaga, saudara malas gerak sekali!"
ente unfriend banget dah,saudara hapus pertemanan sekali
